0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
3,0.949050817018227,0.886591719259318,0.26086753397937984,0.015303009836355715,344.8745957221202,0.5009897799268678,0.5393235106552227,,,,,,,,,,,,,,,,,,,,,,list index out of range
35,0.615789579273475,0.9437972154003014,0.9441571719654551,0.8671122136616485,322.00307700334287,0.8008691997529317,0.6771006255487435,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
29,0.12848750319858682,0.8111230563183296,0.8205574117963812,0.6258770761345628,336.17286697038764,0.6514196233806023,0.20666369144075777,,,,,,,,,,,,,,,,,,,,,,'MESHDistillation' object has no attribute '_inlet_cost'
14,0.21456766079640335,0.37722135731965317,0.038959235997002614,0.6181920589494592,298.91467454643197,0.6556570631172042,0.3853580813034686,,,,,,,,,,,,,,,,,,,,,,list index out of range
34,0.34059050700729365,0.2606684587830796,0.49598785054797695,0.6928210696560703,299.8219185428962,0.9365544870405219,0.0391824080429787,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
21,0.9674837934650957,0.5479170860597626,0.42342859521388787,0.5684634317215834,317.34619229487254,0.7315745905241103,0.12767696044952337,,,,,,,,,,,,,,,,,,,,,,'MESHDistillation' object has no attribute '_inlet_cost'
13,0.5804859579426755,0.8670298955490013,0.5618105054745594,0.2385730001043612,325.3480480523189,0.7398347695713299,0.2382123287887391,2.0164,4.1933,0.04114769267018771,0.01380670611439842,0.8139310460326322,11,9,1.3267673436982101,1,1,3.237754596285941,4,1,0.11755108833312988,1.9057,4.3942,0.14160819559308813,2.3487071990966797,7.224808176966776,
20,0.5342740407832105,0.4965115345640095,0.3895791244105817,0.29760541099186,280.6988363114635,0.05347994821769418,0.9584456427335103,,,,,,,,,,,,,,,,,,,,,,'MixerSettler' object has no attribute '_inlet_cost'
43,0.3548696999436744,0.9567052050379439,0.676702227433861,0.4824726975476783,310.962975648429,0.08327608275414013,0.09169497684375524,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
31,0.5536476820405662,0.21270662223472658,0.9460999234274023,0.7812179208661556,281.7367743553435,0.9308360127767241,0.974150783713557,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
50,0.05586556756188232,0.7369618532353299,0.5458611785879726,0.7057609007303068,347.5861996860084,0.6879612071740216,0.8368801778499503,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
43,0.8383969156876089,0.4260488658994365,0.2225541599292735,0.39661193679405654,341.6760619758118,0.14659016120985632,0.5132748360755238,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
12,0.5812472866850598,0.8630522081368052,0.8802719326415532,0.2366615251627106,342.8924153888381,0.5918295499474023,0.3501832248756436,,,,,,,,,,,,,,,,,,,,,,'MESHDistillation' object has no attribute '_inlet_cost'
36,0.481618821265319,0.37794979136324236,0.7050138558602304,0.24869928201484498,298.42944473447056,0.43440839930382263,0.2536568056557515,,,,,,,,,,,,,,,,,,,,,,'MixerSettler' object has no attribute '_inlet_cost'
21,0.5714158779024903,0.7408997635245773,0.7671181336232611,0.8227080728415057,330.30429758463396,0.6809713231541994,0.23748272064534073,,,,,,,,,,,,,,,,,,,,,,'ShortcutColumn' object has no attribute '_inlet_cost'
21,0.47766711939113976,0.0828830325611849,0.5283172842850795,0.4362921980233954,334.76241217505856,0.9778028786873957,0.5559494381387204,,,,,,,,,,,,,,,,,,,,,,'MixerSettler' object has no attribute '_inlet_cost'
17,0.043396443219842956,0.9245508658905739,0.9190238037071318,0.25296486897244225,326.5466564792119,0.0754270036350603,0.16619881036606202,,,,,,,,,,,,,,,,,,,,,,'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
12,0.29446449744474595,0.995731791891868,0.6968553633582285,0.3841634111960821,329.7567543499125,0.9151628162349397,0.9586065371671056,,,,,,,,,,,,,,,,,,,,,,'MixerSettler' object has no attribute '_inlet_cost'
4,0.3944823464282692,0.10674539032929083,0.33562649879048356,0.169662935905176,322.80732384849176,0.3882295571514733,0.22937180623037923,,,,,,,,,,,,,,,,,,,,,,list index out of range
14,0.3603090606957478,0.25992386786797733,0.45319552274414826,0.032312719514539505,294.5417900520088,0.4111656002000991,0.6027216038350963,,,,,,,,,,,,,,,,,,,,,,list index out of range
