Params,Error
"[5.923666754462466, 0.24164258632675464, 0.48219217406437054, 0.38448227926960143, 0.4794811450045957, 298.55584194598623, 0.14523399268186366, 0.6456682350601022]",'HXutility' object has no attribute '_inlet_cost'
"[45.33939315379596, 0.4008304917276665, 0.8296682501915945, 0.33859062447947025, 0.20442307772711232, 328.29873231566836, 0.16021669283111736, 0.4317630699233658]",list index out of range
"[27.641121515916346, 0.05816590014950412, 0.2357406072344569, 0.7261330549881138, 0.9369320422671763, 311.99606874609754, 0.704796828863857, 0.860571857389472]",list index out of range
"[43.60850196543026, 0.4264287417314139, 0.5215449570238914, 0.3733742138686233, 0.20838461580195322, 329.6564996658932, 0.7538486534757937, 0.058287405048686174]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[43.9857890508395, 0.9154620720037728, 0.7633144532110842, 0.0631959290710054, 0.801235233718864, 320.57908139785263, 0.03103452374506969, 0.9648906509449182]",'HXutility' object has no attribute '_inlet_cost'
"[41.71975260732131, 0.058062450567982565, 0.3738431629788523, 0.4619967635091295, 0.5107149084236877, 343.55224356038264, 0.8359193510700106, 0.4904901492153509]",list index out of range
"[4.239457582638625, 0.244201611480652, 0.4790964125210154, 0.38583177681865016, 0.9943424228011376, 287.6772060973331, 0.07972964908914629, 0.16592993827567076]",'HXutility' object has no attribute '_inlet_cost'
"[28.968331697512635, 0.3188369622972404, 0.11773442142563914, 0.8014187380621834, 0.339787452114877, 316.73955577245783, 0.24050556573602494, 0.47674478845693224]",'MESHDistillation' object has no attribute '_inlet_cost'
"[23.05780663427352, 0.9536317854838021, 0.2018610177492509, 0.6430371139370333, 0.08688948862142834, 297.73013472288795, 0.38839553784414627, 0.2800347759719248]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[26.8278573174762, 0.21435019984192397, 0.3041182814840543, 0.5764585071391999, 0.4797581912544365, 288.6959001613713, 0.9416659647459389, 0.49590524022645566]",'MESHDistillation' object has no attribute '_inlet_cost'
"[4.313615115552157, 0.721157855873531, 0.15213191565111744, 0.5070394371639726, 0.09415833195957912, 280.5715292990944, 0.17199779043392266, 0.65039673032127]",list index out of range
"[17.16163779579443, 0.8621906793070625, 0.01563845033500977, 0.45385960081451066, 0.051574635473208605, 340.8658351771875, 0.6120975433100455, 0.34827698674762575]",list index out of range
"[31.36009045109574, 0.12239043299900491, 0.21925081725900564, 0.3185931935214562, 0.8501061558517673, 327.99422638685496, 0.7302830980398252, 0.7974296688475893]",list index out of range
"[15.368568609457355, 0.8465161647237773, 0.10066541086189827, 0.015127394878221442, 0.43293291770044373, 280.1299031751303, 0.20550750930844497, 0.6861065182438987]",list index out of range
"[49.10653513510217, 0.9007400434479388, 0.04781625624435297, 0.4087466990303171, 0.2150395994617422, 287.9616774902744, 0.9049498532348936, 0.49163229848195705]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[33.47441974353548, 0.9456774500420186, 0.6555353389165971, 0.03345124923899351, 0.24268263530757997, 335.4847956216038, 0.750585382288227, 0.42261542393975565]",list index out of range
"[15.616168063310836, 0.20768653983430393, 0.3237880530922366, 0.6818689707631417, 0.8130251295620038, 314.29493430109704, 0.23473766745791802, 0.9568295651895442]",'HXutility' object has no attribute '_inlet_cost'
"[5.459347978698309, 0.4325103861192926, 0.3239027098461005, 0.24497896206601338, 0.31206173872712645, 318.62191949184466, 0.6972362068661481, 0.26498713622566006]",'HXutility' object has no attribute '_inlet_cost'
"[14.88070509214223, 0.12435601229680925, 0.4997613357552349, 0.24422507114135955, 0.7292302471860076, 335.56305446430093, 0.17190754587867763, 0.9318135727567486]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[36.69219490719485, 0.6309991832978347, 0.11236292984011907, 0.6579333054808081, 0.5463409769570267, 303.53247882511715, 0.8397175362460243, 0.19966242503908058]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[12.731077598126756, 0.07988454319741314, 0.8921150541064446, 0.15557551491009872, 0.46433714630864803, 311.96636835312245, 0.19825488908985892, 0.03409564934944726]",list index out of range
"[32.120503266494055, 0.5422146345530208, 0.059053836780357874, 0.38729434323469786, 0.63823656600334, 332.34787051813566, 0.08462006951764871, 0.9736115401378843]",'HXutility' object has no attribute '_inlet_cost'
"[22.432611526465845, 0.046834952720941174, 0.39141321393537554, 0.638596476579451, 0.37566045337301146, 334.9844615146427, 0.830527689885995, 0.4489065397465489]",list index out of range
"[45.8830007942228, 0.02614054578757416, 0.8085518901581576, 0.11968967784466682, 0.2578748652034702, 326.3890504539587, 0.9907486319339656, 0.527309519248489]",list index out of range
"[35.98119411694446, 0.6945533218039116, 0.6763160267061469, 0.17220696074004213, 0.490745450266369, 349.238989961544, 0.6733164527374994, 0.20262255482280533]",'MESHDistillation' object has no attribute '_inlet_cost'
"[21.315446090181826, 0.7030032429739718, 0.15851023468450326, 0.3259068033453533, 0.29096546069161555, 339.4872629415582, 0.8766686236052306, 0.92918668161522]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[18.091260953581063, 0.8031362371778105, 0.013663727741664727, 0.9198729965101453, 0.7377791441712915, 335.5729527931151, 0.446777333508412, 0.7766165358615933]",list index out of range
"[18.19555764965901, 0.2758056096410542, 0.5064200544013786, 0.1213381185360509, 0.44724520740973606, 330.90803388760924, 0.36728651612060315, 0.5600170174825639]",list index out of range
"[20.216819368217806, 0.052901916136711725, 0.8414107229522524, 0.9655267701766772, 0.9966882280956221, 315.1597499300323, 0.4428512113984384, 0.937320845444997]",'MixerSettler' object has no attribute '_inlet_cost'
"[27.83068617357005, 0.5433321377206607, 0.14171550496270066, 0.25343944652366573, 0.09869181415602378, 333.92150106173, 0.49322198077511276, 0.1063551154866424]",list index out of range
"[3.326838315277013, 0.21415486476001644, 0.8121106558334672, 0.18438239815405114, 0.3133593722215577, 326.935859280311, 0.31501144971482015, 0.22656664416361758]",list index out of range
"[46.65350917210022, 0.5005820906747016, 0.8551503470390505, 0.6368809655542791, 0.009973131371550393, 319.315448188648, 0.7536444635128701, 0.45372832382645617]",list index out of range
"[39.698908911744816, 0.8818801773334832, 0.5987841096351268, 0.11105449673845164, 0.29553442386920076, 301.5167506434696, 0.9988441679352597, 0.0843646326178811]",list index out of range
"[39.51956334454734, 0.17622617635720658, 0.5929887086875739, 0.09038510187698555, 0.540443560110265, 279.34921369427565, 0.07290652744478783, 0.893964249340037]",list index out of range
"[31.077665166724998, 0.039981493046615815, 0.32151946388460445, 0.5580217710885076, 0.18617759411660964, 314.16053122592746, 0.11341274023077767, 0.2090664396204992]",list index out of range
"[35.82406857789301, 0.48562840730680457, 0.21862455423313001, 0.15041258738635652, 0.37679844378581384, 276.0408474248641, 0.9781766228779956, 0.0702869752092146]",list index out of range
"[29.692017794043725, 0.8599855733967263, 0.2602011660331191, 0.2720978235561516, 0.006677282157550133, 347.3754193940387, 0.30027432532857845, 0.39514869746248876]",list index out of range
