Params,Error
"[12.724473809146104, 0.1459989232608421, 0.14294362699249832, 0.34685471326426315, 0.9976372823032442, 333.65906142461847, 0.9716703146088335, 0.04609640621168799]",list index out of range
"[1.3466299361890464, 0.6965727348882715, 0.7951706804659862, 0.490915205584734, 0.9223011070043514, 340.2792246695398, 0.6660117602548921, 0.41654395153308366]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[29.197360168086707, 0.007595031070524933, 0.25459302865086736, 0.9631860679634028, 0.08678551616692284, 332.82258853353295, 0.07680079708063171, 0.07603781883234449]",list index out of range
"[28.704329231804746, 0.861159348403775, 0.024267729880585686, 0.07682837932766214, 0.4552772983563104, 331.7323541623258, 0.3341365614677584, 0.9439265336134032]",list index out of range
"[7.130902339364986, 0.43686429781562075, 0.24889744304000358, 0.5203753515661178, 0.9825972255951395, 309.205243985059, 0.06889533603504305, 0.0550056954567823]",list index out of range
"[4.864055927041237, 0.025065182281028577, 0.916143724381607, 0.4839829858063452, 0.9589090193510944, 274.2093247059813, 0.4497071397781459, 0.5302212189384734]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[31.103159554328435, 0.34001717801664216, 0.044107964691672046, 0.7964407842792595, 0.3219503498023001, 307.59442093332314, 0.654818574000308, 0.895178398251509]",list index out of range
"[3.3496939834351247, 0.05513050835331337, 0.13640394014305718, 0.32065985295650157, 0.176111550699175, 310.221981484259, 0.7760391058395374, 0.43010707086322114]",list index out of range
"[11.748538389557117, 0.467905812668855, 0.2105614121518789, 0.6079051174556852, 0.8215039180149432, 306.4999215867839, 0.23016495656231534, 0.04676774762534767]",list index out of range
"[11.332549809700659, 0.8710370778884104, 0.6224081423545162, 0.5578186800640782, 0.8310522713869927, 335.7684862533776, 0.7682444299649516, 0.05571316140157811]",'MESHDistillation' object has no attribute '_inlet_cost'
"[33.82170063990513, 0.7560312480411934, 0.46920946706775624, 0.884917701344726, 0.8809826202230642, 344.88878473105973, 0.0019245025599219012, 0.10296295312059316]",list index out of range
"[34.5281084501339, 0.4535696868399244, 0.863079242856095, 0.2604139610883816, 0.3482092660027943, 302.8905793201724, 0.48995797448473866, 0.40261375063249794]",'MixerSettler' object has no attribute '_inlet_cost'
"[34.06464932545076, 0.41275475916462057, 0.0948404551354651, 0.6151797936122362, 0.4466978274355152, 309.8988521658938, 0.6072177572234193, 0.8490374597233621]",'HXutility' object has no attribute '_inlet_cost'
"[39.69673056487667, 0.4396473635975861, 0.12555268288840332, 0.46412166699015833, 0.9245883560260715, 335.1408465612606, 0.09739744685160868, 0.9575383508595391]",'HXutility' object has no attribute '_inlet_cost'
"[48.556442784203014, 0.3612158719129744, 0.8987857579364307, 0.019003742997993213, 0.9302860463899223, 297.61548963749044, 0.024259683756335967, 0.9106256702825265]",'MESHDistillation' object has no attribute '_inlet_cost'
"[27.624873568285736, 0.16874426273656062, 0.21977932491324373, 0.687715834742333, 0.008541577927745214, 296.29580364821754, 0.3954619614489301, 0.9495375781912113]",list index out of range
"[24.166206994587398, 0.6262864119640923, 0.7306325813078266, 0.04560891748848988, 0.8463437853414598, 278.5502567312593, 0.0963894614724321, 0.5020684529209678]",'HXutility' object has no attribute '_inlet_cost'
"[41.096526503657934, 0.8056687138243284, 0.20508697181727648, 0.4066067546385567, 0.2698395737858042, 310.4875336979263, 0.8469463135240547, 0.2757004459085489]",'MESHDistillation' object has no attribute '_inlet_cost'
"[20.195289072008528, 0.03620146477156757, 0.6874112036558242, 0.6428278607658449, 0.8989614642769332, 337.2121146780312, 0.14366415476894054, 0.694726647965567]",'HXutility' object has no attribute '_inlet_cost'
"[47.91414611623169, 0.23979195080135146, 0.5985274748290809, 0.7629036422946216, 0.21182726768956633, 308.29962680427144, 0.2799733404672791, 0.010511119466346084]",list index out of range
"[26.34460909138163, 0.9601865271688997, 0.9960994747581414, 0.5818688369742729, 0.7910184982917792, 342.1536024594961, 0.8916606341710154, 0.04321809825877653]",'MixerSettler' object has no attribute '_inlet_cost'
"[18.999095442643135, 0.4025047070086983, 0.0063894148271452286, 0.856050283958913, 0.8215455134489171, 298.1678622844585, 0.8235580895437877, 0.44761167887187214]",list index out of range
"[48.3329317896175, 0.1699992224681621, 0.44809505971708075, 0.3611541332465253, 0.848202071868184, 324.7788399009554, 0.15092323615555212, 0.5517620386462998]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[28.3473486616078, 0.5372644836198789, 0.8164185736747218, 0.6060110344734936, 0.04614637036308528, 338.03133810510997, 0.8861131996701959, 0.8143048204373945]",list index out of range
"[25.21835495141969, 0.3224068452178763, 0.35718153814516546, 0.4112298634778127, 0.8592282260784598, 317.8443031159593, 0.7102851149145263, 0.1659433004234578]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[8.575990609941792, 0.08367277233519116, 0.46340477036591676, 0.09341065102570538, 0.4262457577960878, 280.4613294838098, 0.394052931479583, 0.8738785442776844]",list index out of range
"[33.90163352637157, 0.4567576826636193, 0.8069378320469981, 0.7777518241422171, 0.9855444992510276, 316.6153786234983, 0.7107424127053503, 0.21168689387781894]",'MESHDistillation' object has no attribute '_inlet_cost'
"[30.779399479325747, 0.7945395028421197, 0.9149868692279779, 0.8380173602960638, 0.46287816758044575, 341.65444697004654, 0.10343620805135526, 0.08446761738169362]",'MESHDistillation' object has no attribute '_inlet_cost'
"[24.65294006364211, 0.6220390549120627, 0.6525085261459689, 0.21099089443577787, 0.3626014426614645, 341.5431325796977, 0.6987902889368458, 0.18845275591459093]",'HXutility' object has no attribute '_inlet_cost'
"[18.615119733743555, 0.8249772894665254, 0.5020450334113289, 0.7260767604508985, 0.020475801276931962, 329.93501101539835, 0.9730951764227831, 0.8476449356009259]",list index out of range
"[25.865711227326923, 0.4196573290022049, 0.4083086979880086, 0.16802733644096554, 0.05411544256650281, 276.81010032021373, 0.5534132705621388, 0.11532022616824376]",list index out of range
"[45.579977395121915, 0.8878512471997366, 0.46899111836595453, 0.38101379944449965, 0.31082739208046395, 318.1697119069974, 0.11452779931668224, 0.5173388587734689]",'MESHDistillation' object has no attribute '_inlet_cost'
"[28.382280096129403, 0.6294751451063577, 0.8198213923298726, 0.045940150399966864, 0.7970094051087205, 324.62819333015057, 0.5045128179420392, 0.08377373999369699]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[8.668372330884766, 0.7724031733515331, 0.7947552335346739, 0.5322317106527542, 0.17706656323574882, 291.83854735181785, 0.07977368811209955, 0.8080385522648452]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[19.60472087177051, 0.30376214819824604, 0.9622187852747088, 0.18443616491333548, 0.5857078508463162, 343.4083196463504, 0.46075419158357134, 0.12459949898918768]",'MixerSettler' object has no attribute '_inlet_cost'
"[33.89137830212751, 0.6208942327455849, 0.12150733260358185, 0.06352455246707578, 0.22339306748670415, 344.14303968920433, 0.29387326837567057, 0.9547864267704561]",list index out of range
"[3.587684379778521, 0.2669530086266777, 0.11550793104717931, 0.13417708822744975, 0.21542134314455325, 295.3338549105118, 0.538960338566736, 0.8397725433681618]",list index out of range
"[42.74413864479841, 0.08925616801027404, 0.9492320568230054, 0.2085302996354963, 0.3230295120056483, 323.89472119459066, 0.5112253505481094, 0.27351299798367573]",list index out of range
"[4.306838735614609, 0.7044980342821345, 0.7197265420469938, 0.008298208560261585, 0.3657851789271853, 282.68695063045675, 0.6717412329729262, 0.03643302024486117]",list index out of range
"[28.739701868197777, 0.49137384486934726, 0.28594669751881624, 0.2283990429298091, 0.09793126060705613, 324.8220355943234, 0.06481432818670133, 0.008856564042686914]",list index out of range
"[25.883282279616957, 0.16925282145860202, 0.4134864263737783, 0.9261346374714856, 0.6904556326801506, 298.9289268959947, 0.17071666900020677, 0.966787371403602]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[18.434125672311684, 0.22387409830103777, 0.5043209343883569, 0.2501812698507794, 0.29368115527533856, 313.26496807265653, 0.16291340838762883, 0.451149253753838]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[13.90662779796314, 0.32196647543368007, 0.8382085372306057, 0.8448471728543615, 0.7020252941434459, 286.1389864258385, 0.1305194589577384, 0.6621565134185634]",'MixerSettler' object has no attribute '_inlet_cost'
"[32.655798550840075, 0.4555577247179029, 0.9026378114466491, 0.0015754322623875913, 0.8962340947158245, 341.7568544684596, 0.1256230410636064, 0.1628421348756225]",list index out of range
"[37.041661995069475, 0.251000424896924, 0.8981723331669951, 0.26861328417906355, 0.3612211231100948, 311.54309640003737, 0.16794562962462894, 0.36603635938183054]",'HXutility' object has no attribute '_inlet_cost'
"[32.14977443242353, 0.9006948410434826, 0.8706840931868928, 0.43493943288065173, 0.10875945744231846, 298.1180671073141, 0.9189246583564284, 0.06648415050880696]",list index out of range
"[13.480342426031427, 0.2414410014620888, 0.2663167514480629, 0.669813109543083, 0.7792362656752725, 318.0622396471626, 0.34323794998624835, 0.5324512784280916]",'MixerSettler' object has no attribute '_inlet_cost'
"[8.95184587229397, 0.42504300858583344, 0.6336361288130666, 0.257205365598403, 0.2810972056056136, 337.14335140322567, 0.571494930284889, 0.8678115043746308]",'HXutility' object has no attribute '_inlet_cost'
"[35.597918167239115, 0.3737446749733329, 0.032708375123470204, 0.510872804624529, 0.25316030948147394, 340.5867841118766, 0.21604815632832083, 0.7178208914588844]",list index out of range
"[43.04039824345975, 0.0969040909378653, 0.8989590638086239, 0.2649019320561928, 0.22368796788765236, 333.80660283754406, 0.9317532628732286, 0.2568144305384969]",list index out of range
"[3.119470588762109, 0.11318883149345556, 0.307722887506245, 0.20061183168113517, 0.9012978485667856, 305.64042452123203, 0.2692814831794534, 0.17749659541634244]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[15.515493087680925, 0.3633907070574859, 0.8038628633821053, 0.3705492371604452, 0.2888241492694425, 336.67424600938864, 0.7510038911125021, 0.6256743235106218]",'MixerSettler' object has no attribute '_inlet_cost'
"[13.723402373018258, 0.8444644147267694, 0.419469049964245, 0.15651741251885676, 0.5421959743056031, 342.0919065640293, 0.5188840265440772, 0.8623751138890534]",'MESHDistillation' object has no attribute '_inlet_cost'
"[21.607617901653374, 0.23845157186581958, 0.40035830786478627, 0.1429417296645155, 0.6297533045850204, 322.31242761407566, 0.4057500905808422, 0.8884215976399572]",'HXutility' object has no attribute '_inlet_cost'
"[43.503603635080246, 0.24446425152200005, 0.37431558988146585, 0.5256690318099385, 0.8925504364758238, 334.04352612979727, 0.6831642247972278, 0.6224228890462358]",'MixerSettler' object has no attribute '_inlet_cost'
"[19.161513597245737, 0.10602199068961173, 0.5690482981254457, 0.6298973182366766, 0.6858588312092276, 320.4031294468625, 0.466083725716412, 0.5497399374173777]",'MESHDistillation' object has no attribute '_inlet_cost'
"[41.035089480464826, 0.5373605276420306, 0.5568618001339525, 0.11585866772864237, 0.3835727277556985, 281.2577636362563, 0.034969206563188415, 0.49082612835723277]",list index out of range
"[5.74028696824295, 0.3696610930440373, 0.20093131770701345, 0.2578888676218013, 0.7327536464276209, 343.08230116392787, 0.8380913793786537, 0.9764322972086644]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[26.0693534604502, 0.358387490190209, 0.3241295381656919, 0.39082822184879407, 0.7618387935612783, 273.2973450262959, 0.05000609567635181, 0.7788009837618072]",'MESHDistillation' object has no attribute '_inlet_cost'
"[21.58253410424381, 0.7237137157791126, 0.6786517366189914, 0.34672717538644016, 0.3463905015681296, 349.61133309835805, 0.5384383009950917, 0.15159893398511934]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[31.01108143401126, 0.6617234051659251, 0.9061181394962478, 0.8347850685487526, 0.012910789182512105, 277.45244651697226, 0.3176229196782145, 0.81503311628638]",list index out of range
"[33.03847847835213, 0.5892923531107079, 0.6553558912888273, 0.1009077155951225, 0.6864804557749515, 275.39487519141494, 0.8085885310670586, 0.3774928963688416]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[39.28322706793551, 0.11678992619125952, 0.399720682133676, 0.15128327758793989, 0.7641958079064212, 286.6098260011046, 0.32516423104288666, 0.3112958451646882]",'MixerSettler' object has no attribute '_inlet_cost'
"[11.952650581011403, 0.3888024832072112, 0.11545466834582528, 0.7936802755670412, 0.9670056096197217, 320.1917782222102, 0.028887776783121412, 0.14306087868796255]",'HXutility' object has no attribute '_inlet_cost'
"[39.85134407095715, 0.1031745929983786, 0.6616001857299852, 0.09928130725173796, 0.9441183060583864, 316.2188264298084, 0.20662853989250987, 0.4563913813722725]",'HXutility' object has no attribute '_inlet_cost'
"[42.46558758685251, 0.3468115698015587, 0.29047650472584635, 0.3248384373463666, 0.636491099607423, 273.4563725624049, 0.25344537501682346, 0.3993463429611735]",'MESHDistillation' object has no attribute '_inlet_cost'
"[33.325564436471275, 0.14977930234645334, 0.06774640680251916, 0.7060178578761459, 0.3914896248065802, 285.9163314463496, 0.0022350658674627627, 0.7100662090996835]",list index out of range
"[4.404286358186135, 0.5606037016311061, 0.23603078239941486, 0.07973042670133439, 0.05927605293680949, 281.8712981120154, 0.8029700327891711, 0.8470405562482172]",list index out of range
"[43.494511945166394, 0.32189885023058795, 0.5512387233872839, 0.32711830067665915, 0.369209887227946, 315.05041683655236, 0.11581412487029533, 0.5833499781235445]",'MESHDistillation' object has no attribute '_inlet_cost'
"[17.045920862947508, 0.15992947100683025, 0.14215706200059205, 0.3782033693932134, 0.4669192921956647, 293.98957659167365, 0.7187096847522968, 0.84880576635946]",list index out of range
"[45.82270385674545, 0.4472006536134758, 0.10809545523494843, 0.19093459394642687, 0.9416923907576696, 341.69972040996447, 0.8858660436107388, 0.12261431374251724]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[29.13488323391436, 0.8351175863710083, 0.7902908297860765, 0.762128273033774, 0.781831444913362, 338.58598282997133, 0.9983495761754061, 0.04331703024060832]",'MixerSettler' object has no attribute '_inlet_cost'
"[21.174183811613865, 0.5233007388839108, 0.9390284717352112, 0.4587838086862209, 0.16802697529167426, 339.4306857658169, 0.36560682084107043, 0.8659418576090925]",'HXutility' object has no attribute '_inlet_cost'
"[18.648105305941016, 0.37649580303578684, 0.28539951224742643, 0.9778851073034175, 0.8517959381020324, 303.3677897222517, 0.6899652997995921, 0.3143468567682616]",'HXutility' object has no attribute '_inlet_cost'
"[23.64532416089629, 0.08933318312935394, 0.5624039803932925, 0.025611842418049202, 0.21806056747329505, 274.6498213922653, 0.86116502864409, 0.06454011166224836]",list index out of range
"[2.9513963321504795, 0.6493685239561289, 0.03432151700785923, 0.8769640013039101, 0.41051700898186166, 347.03343900357453, 0.1860886526164195, 0.87029505332817]",'MixerSettler' object has no attribute '_inlet_cost'
"[3.1203295578302557, 0.0808279547697608, 0.42228014695308635, 0.5836932833615703, 0.6829417775374712, 285.4131130521696, 0.06095815786317358, 0.5874956414192462]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[31.356595074850063, 0.980456590606924, 0.6254209701583547, 0.08018627371575866, 0.5909652680343509, 291.08651726806926, 0.02500481980746664, 0.41159648185588865]",'HXutility' object has no attribute '_inlet_cost'
"[18.09104891196723, 0.23995968786484534, 0.25492336636993057, 0.6340060551159347, 0.06394959429690343, 307.92269494206346, 0.8416638966925006, 0.09287560639171197]",list index out of range
"[49.27270001559053, 0.9188821952428912, 0.9728506116139737, 0.8670507004778432, 0.33181682869468754, 325.46411442976483, 0.576551023881472, 0.018738761481484362]",list index out of range
"[12.84905101947462, 0.3834433479770238, 0.7724799443139814, 0.8816538432386063, 0.37448985619011876, 317.9647068068553, 0.9580418113242819, 0.1707475299902361]",'HXutility' object has no attribute '_inlet_cost'
"[20.471536179335015, 0.6492844547966542, 0.030019987589419445, 0.5573660114765824, 0.05969186842601235, 287.6386421723941, 0.3516163148318891, 0.39700541229163344]",list index out of range
"[4.093230521109057, 0.10078918146994521, 0.12282036472968809, 0.35140017385490846, 0.5842097752621288, 340.6366351425744, 0.7796485041869536, 0.9591395145311274]",list index out of range
"[26.194862315102764, 0.3085208705456117, 0.8822067118353681, 0.8935038971166722, 0.6303756361209638, 346.45111457685925, 0.8833620662303736, 0.014185962015907142]",'HXutility' object has no attribute '_inlet_cost'
"[26.981786577679188, 0.14900808424983097, 0.5464279357639688, 0.24658692515871702, 0.22237223397850794, 280.55204679281763, 0.7262007865972886, 0.7777305085053778]",list index out of range
"[16.35127157274755, 0.49226529823121823, 0.7032531484404376, 0.13600251270517968, 0.5441659331958091, 347.5534715159997, 0.39721199129889395, 0.4890081790256557]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[30.44975602874316, 0.6226276739118567, 0.30678808872043345, 0.9349873257580427, 0.7213308002931638, 331.18403908494275, 0.347989434460556, 0.2824103834533289]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[10.004890287308047, 0.33532552261657955, 0.31977354679730047, 0.40629749795237086, 0.6000891607188604, 292.42332161305956, 0.09119937386654711, 0.04296919023579141]",list index out of range
"[26.87728556270669, 0.8132188645901085, 0.9471765460443953, 0.9674853707583624, 0.12351985010650278, 276.3825381439, 0.7485321357040033, 0.33576483639244825]",'HXutility' object has no attribute '_inlet_cost'
"[20.569985896349696, 0.9495798436899531, 0.9093141339080888, 0.21254111967262213, 0.04777223499541483, 348.86553995419797, 0.7095971887161846, 0.5044206064626509]",list index out of range
"[27.931328860599713, 0.7740433223956381, 0.7791874320564282, 0.5433468881961491, 0.1726986606319539, 286.9686937619322, 0.36251904407675156, 0.686525540730268]",'MixerSettler' object has no attribute '_inlet_cost'
"[37.558282826939205, 0.20508451920079887, 0.5164763539103778, 0.400135519597506, 0.4952999789220712, 341.91628588973606, 0.2763849879288531, 0.8132651323936235]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[19.76002531923841, 0.32608971749123644, 0.19758224126234855, 0.04582691528519881, 0.3446750875111015, 277.7329937227639, 0.34522418188480064, 0.9516649928149408]",list index out of range
"[1.317736441581051, 0.040287804763371265, 0.8710451405301436, 0.8789054675220682, 0.20444352391109083, 310.36350825103665, 0.6214125356759511, 0.5229385293798888]",'HXutility' object has no attribute '_inlet_cost'
"[32.385846678376495, 0.014836808406719587, 0.9537495132588967, 0.511265390386082, 0.8833974454280634, 287.8617580667191, 0.8056001037545808, 0.22167366021792928]",'MESHDistillation' object has no attribute '_inlet_cost'
"[9.70311074391883, 0.06305708258303762, 0.2344560511050554, 0.00763932850507553, 0.9799242916654193, 294.128126597417, 0.7754406711086601, 0.3573578584361028]",list index out of range
"[42.23522265211673, 0.8030548567798108, 0.5789994723317464, 0.9544805133077618, 0.9612251142136643, 303.2202845640756, 0.645465178505314, 0.06473527992554716]",'MESHDistillation' object has no attribute '_inlet_cost'
"[34.95102021646336, 0.5196194878237153, 0.09571700917226436, 0.6595753466549503, 0.4903541132224112, 346.57665060977797, 0.3917632127178027, 0.5233482179156449]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[1.7833125839501085, 0.8505401565936509, 0.19518523684527023, 0.888367950216856, 0.8973275699981432, 280.44664792013384, 0.9994010829563288, 0.5653646132929047]",'HXutility' object has no attribute '_inlet_cost'
"[34.083769868267936, 0.18073386083547224, 0.6486421640904091, 0.09423839703135337, 0.08932402817234827, 343.2312638256531, 0.14542579984371876, 0.8066500263386635]",list index out of range
"[9.952353999661835, 0.7491223925131719, 0.43851448989527025, 0.37243623300652934, 0.12584835723557067, 306.57392597388093, 0.8860786051779752, 0.1334473452830336]",list index out of range
"[26.870928417422554, 0.7590955622449379, 0.42553481286287576, 0.1324413262624377, 0.22222284961258046, 283.7610561631104, 0.6579390389646209, 0.983217181262183]",list index out of range
"[4.906990065422283, 0.10320425655790501, 0.9423366884538132, 0.42306155825333475, 0.2853913576319457, 331.70938889787095, 0.3790559825411451, 0.39695891062578625]",'MESHDistillation' object has no attribute '_inlet_cost'
"[31.004206530286115, 0.6412604855051417, 0.08882479179066512, 0.02286168416622313, 0.06408927327885629, 277.7552901635794, 0.3315822065426639, 0.25695922658204434]",list index out of range
"[4.0805696949669565, 0.7578034459912368, 0.3167824917437795, 0.24327422098972343, 0.45163738892913136, 307.4743266109071, 0.2267617815884448, 0.09000173792265428]",'HXutility' object has no attribute '_inlet_cost'
"[35.864100367484006, 0.00774805566743773, 0.19609215973515634, 0.05471967407053242, 0.9511543035739797, 325.3374561302202, 0.32950580636691623, 0.7639202663765473]",list index out of range
"[12.120171119459588, 0.1863936261289537, 0.4914180372351303, 0.6946771636235451, 0.9195088160970377, 294.33833634187636, 0.8510270891430669, 0.3161665167810277]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[42.11086620516154, 0.7937983257104197, 0.746052938385528, 0.3858494432261347, 0.9653036646135718, 336.6836512557707, 0.6636781445547725, 0.001626180257565336]",list index out of range
"[6.689038385303317, 0.9893371585166767, 0.9941209138348203, 0.3708817496196283, 0.15133746308881557, 306.45170103839666, 0.39109185884612924, 0.14487754175961298]",list index out of range
"[20.437790859467693, 0.7359913883523784, 0.2674654887899844, 0.05516609387889068, 0.3409065692030886, 327.4970180746535, 0.7467758094687789, 0.8573461287011487]",list index out of range
"[43.71162064063405, 0.23402694494525036, 0.5447544321829718, 0.04994913500816098, 0.26531952426966166, 286.7689549974234, 0.28683820363192425, 0.9161085601105288]",list index out of range
"[30.01413941901812, 0.8556902245980329, 0.3822607903736835, 0.27148937508854454, 0.12139347880236953, 346.5307662009741, 0.6012067271892493, 0.9784631749835571]",list index out of range
"[6.655184539890226, 0.2204827384268828, 0.47938750002322417, 0.22063174833421145, 0.5641068426092167, 273.28825329894545, 0.07239042251735303, 0.4572543005643994]",'HXutility' object has no attribute '_inlet_cost'
"[46.7217061426612, 0.22569198391158002, 0.4970250823412263, 0.06709395052662616, 0.8809568838734123, 322.5966012038717, 0.6354016250486424, 0.8410522803109262]",'MESHDistillation' object has no attribute '_inlet_cost'
"[15.203160303738812, 0.20510424537131078, 0.9535905575060538, 0.355605251251885, 0.04682927925746401, 296.96098591092687, 0.2625014542598095, 0.796428723634713]",list index out of range
"[12.927708887834967, 0.9260581899332821, 0.7720281177864871, 0.14716795951640377, 0.33635926638597063, 294.71564535206244, 0.17236398453185248, 0.9337556427840914]",list index out of range
"[21.97162509029701, 0.35995893024281267, 0.2793509716770096, 0.28239594782362304, 0.929859168411035, 325.5171540333977, 0.30680590149655934, 0.8557367491833573]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[4.031337542762648, 0.3029347320251061, 0.10636834700188852, 0.8582962232177866, 0.4055053587121018, 325.98267747123333, 0.449828643013898, 0.9952724873719458]",list index out of range
"[12.591664475938888, 0.7184607264534888, 0.5469353722320054, 0.31645679256190173, 0.9585497257002474, 288.2994900762735, 0.10160650695189603, 0.02234573252350487]",list index out of range
"[25.03654874380687, 0.5101500319653128, 0.046452298084317604, 0.4069670456051591, 0.834575320556262, 344.7803099700581, 0.33085579335761905, 0.13306905216596668]",list index out of range
"[33.98308955785667, 0.08465866839024222, 0.7339736980818365, 0.7211068662397655, 0.4173063260649939, 348.50193648146876, 0.3919460070738157, 0.8088968825021804]",'HXutility' object has no attribute '_inlet_cost'
"[43.155794481522165, 0.3556824615972681, 0.9078584739940784, 0.09681515835784416, 0.7033918361960908, 292.0310891476531, 0.18117830493249973, 0.014554475962301135]",list index out of range
"[38.91241852626372, 0.042177928607841586, 0.70714046121743, 0.22688593699349618, 0.6014867984728941, 325.70354794164405, 0.14265420300581694, 0.574350977907027]",'MESHDistillation' object has no attribute '_inlet_cost'
"[38.20745920910805, 0.7275280330840238, 0.029716759893577693, 0.7161098359474946, 0.6286686108731468, 327.02516240129984, 0.6899552318930804, 0.3628890532372585]",'MixerSettler' object has no attribute '_inlet_cost'
"[23.80074987224769, 0.8638199948999521, 0.10093278936471639, 0.7125602213827964, 0.03929731325767052, 325.44985459030994, 0.5703900331921636, 0.15153569784017332]",list index out of range
"[29.746570876701767, 0.2669430211794462, 0.4881910952422076, 0.9275176037911346, 0.34264301240666245, 314.6835197056382, 0.4623425497755068, 0.1816046752140061]",'MESHDistillation' object has no attribute '_inlet_cost'
"[5.857593896450024, 0.804380421450813, 0.9832117971094712, 0.46163020573284097, 0.15467784918051922, 316.028382860524, 0.4182039853139921, 0.3778430508986694]",'HXutility' object has no attribute '_inlet_cost'
"[26.04442005950548, 0.9131918014560582, 0.020807083752495053, 0.8730329586735086, 0.9662352898369413, 337.0269859797828, 0.6758369664438323, 0.5376914112476416]",'MESHDistillation' object has no attribute '_inlet_cost'
"[30.484943507510547, 0.6150215549723419, 0.9389206390286341, 0.7827444366796, 0.07236234449652053, 347.9515595977432, 0.3249581780739031, 0.16131640960838262]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[24.558523373800632, 0.37826355578472176, 0.16647518515160134, 0.5694907837273532, 0.22143037752762476, 313.1407562705015, 0.3745947885644674, 0.48756486413678213]",'MixerSettler' object has no attribute '_inlet_cost'
"[27.63228622767338, 0.11254926220308213, 0.9131913372175191, 0.5692579893363179, 0.18360639869595924, 320.0738093276862, 0.5114967783742471, 0.6233078531126455]",'MESHDistillation' object has no attribute '_inlet_cost'
"[21.035389452070532, 0.07538553811537767, 0.09920699879107384, 0.6869193147633843, 0.07969139141555244, 303.7069715226438, 0.3674220189396115, 0.04777373556590756]",list index out of range
"[7.087616540613688, 0.39619609267897, 0.273101002220702, 0.6434914678974889, 0.972892671967097, 325.6819942891732, 0.6105188483944234, 0.3956439952156486]",'HXutility' object has no attribute '_inlet_cost'
"[9.523461999329495, 0.07660749133836446, 0.7004275300862799, 0.39476396481378556, 0.8637540631473557, 316.9704740012779, 0.5746840064972424, 0.97601991345728]",'MixerSettler' object has no attribute '_inlet_cost'
"[32.49766628734918, 0.25893680500714833, 0.3185831712130415, 0.8554120945828309, 0.3633329029656416, 281.88515390995155, 0.7723279517824498, 0.66925001520957]",'MixerSettler' object has no attribute '_inlet_cost'
"[1.687448573736315, 0.7487254876800177, 0.315293537413758, 0.2531718601000529, 0.3297765501078075, 278.1461419717177, 0.560799091607895, 0.29621009275385546]",'HXutility' object has no attribute '_inlet_cost'
"[38.22323116719142, 0.07676385480810971, 0.5179328159329248, 0.11424215404633936, 0.47162199565568563, 275.3214486927163, 0.38850867392981026, 0.3204315083763473]",list index out of range
"[31.223910817201393, 0.8276708361082599, 0.8995695307897125, 0.1434859884640451, 0.0862682786043262, 300.3768961285865, 0.2269007327838344, 0.43295288075992255]",list index out of range
"[48.16430407159199, 0.4852052790246968, 0.6615742799791029, 0.04228494038887463, 0.6815625651397973, 345.6172866335865, 0.7333677437534483, 0.07811712991582198]",list index out of range
"[4.487193924175569, 0.10660532640034541, 0.7957526521740231, 0.1540082200093148, 0.3217631215481908, 335.78638094873355, 0.5189609845983033, 0.3068637264572184]",list index out of range
"[41.15044518062821, 0.45193642884413626, 0.21861645882836048, 0.44634923227381484, 0.8279253706110823, 282.2068167764235, 0.8224948739944903, 0.27794715759358757]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[22.429875761576533, 0.35260353660784927, 0.2539796387313348, 0.866523966260184, 0.5277642827164669, 290.3286831671955, 0.11082928080399654, 0.8805518053774564]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[33.94854406941908, 0.20923123363249366, 0.5406959939174276, 0.989191856864053, 0.9981603361742852, 312.54581554001487, 0.26827330036046976, 0.7442615794261739]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[34.344823925882054, 0.211851359205626, 0.3269255430332933, 0.5208196105273089, 0.49779390452475725, 299.82982064434805, 0.5231819664335239, 0.8853676219922546]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
